Day of Start Time,Location Name,Shift Name,Calculated OEE,Avg. Availability,Avg. Performance,Avg. Quality,Down Seconds,Out Count,Target,Theoretical Quantity
25-Feb-20,Food Safety,3rd,0.00%,1,0,0,0,0,0,496.94998
16-Mar-20,Food Safety,3rd,0.00%,1,0,0,0,0,0,0.94999999
24-Jan-20,Food Safety,2nd,0.00%,1,0,0,0,0,0,495.14999
28-Jan-20,Food Safety,2nd,0.00%,1,0,0,0,0,0,495.60001
6-Feb-20,Food Safety,2nd,0.00%,1,0,0,0,0,0,495.29999
25-Mar-20,Food Safety,2nd,0.00%,1,0,0,0,0,0,495.66666
10-Apr-20,Food Safety,2nd,0.00%,1,0,0,0,0,0,495.45001
2-Jan-20,Packing Line 01,3rd,53.90%,0.779220734,0.700004425,0.987946396,5100,8770.013672,0.600000038,16274.423
3-Jan-20,Packing Line 01,3rd,49.60%,0.961574936,0.518755188,0.993940048,971,9185.00293,0.600000038,18525.652
4-Jan-20,Packing Line 01,3rd,66.20%,0.857289047,0.773362503,0.998420486,3346,11378.01172,0.599999962,17188.678
6-Jan-20,Packing Line 01,3rd,60.20%,0.952672272,0.633975105,0.997031555,1199,11083.99609,0.600000076,18406.521
7-Jan-20,Packing Line 01,3rd,26.00%,0.932411118,0.279242516,0.99905571,1500,4232.004883,0.600000038,16269.247
8-Jan-20,Packing Line 01,3rd,42.80%,0.655714417,0.653629227,0.999223175,9923,9003.994141,0.600000038,21024.541
9-Jan-20,Packing Line 01,3rd,67.50%,0.82264595,0.835387115,0.981668396,4204,11192.04492,0.600000038,16589.904
10-Jan-20,Packing Line 01,3rd,49.30%,0.867440186,0.5703759,0.995988693,3759,9932.005859,0.600000038,20154.957
11-Jan-20,Packing Line 01,3rd,77.40%,0.86059906,0.907825623,0.990920563,2639,10259.02539,0.600000038,13251.468
13-Jan-20,Packing Line 01,3rd,60.10%,0.956642685,0.640964279,0.980213852,1200,11641.9541,0.600000038,19369.635
14-Jan-20,Packing Line 01,3rd,66.60%,0.906578598,0.757030258,0.970908051,2701,13482.9668,0.600000038,20234.322
15-Jan-20,Packing Line 01,3rd,53.00%,0.867558479,0.605522842,0.995150108,3600,10789.00684,1.200000076,20372.672
16-Jan-20,Packing Line 01,3rd,27.50%,0.725247421,0.38073082,0.995047379,6635,4822,0.599999962,17550.084
17-Jan-20,Packing Line 01,3rd,63.60%,0.987625122,0.65501976,0.983177338,225,8299.003906,0.599999962,13048.108
18-Jan-20,Packing Line 01,3rd,19.10%,0.914008179,0.209972496,0.997448959,2399,3909.999512,0.599999962,20425.539
20-Jan-20,Packing Line 01,3rd,62.50%,1,0.638712158,0.978651199,0,10085.0166,0.600000038,16134.055
21-Jan-20,Packing Line 01,3rd,70.00%,1,0.709344711,0.986235352,0,8598.00293,0.600000038,12290.22
22-Jan-20,Packing Line 01,3rd,22.00%,0.77731781,0.28358408,0.999262848,7477,5422.005371,0.600000038,24614.994
23-Jan-20,Packing Line 01,3rd,51.40%,0.90221077,0.717004986,0.994849415,4308,10431.00098,2.400000076,20301.58
24-Jan-20,Packing Line 01,3rd,61.50%,0.946721802,0.664693565,0.994549637,1212,10502.99805,1.200000076,17090.338
27-Jan-20,Packing Line 01,3rd,26.80%,0.826875076,0.326236649,0.993686676,5339,5980.996094,0.600000038,22312.664
28-Jan-20,Packing Line 01,3rd,36.00%,0.74039093,0.48953289,0.99437645,7889,7956.996582,0.600000076,22077.777
29-Jan-20,Packing Line 01,3rd,22.90%,0.722572708,0.318558865,0.994735718,8178,4724,0.600000038,20631.506
30-Jan-20,Packing Line 01,3rd,70.40%,0.965150642,0.745619698,0.985815125,944,12058.00928,1.200000076,17128.945
31-Jan-20,Packing Line 01,3rd,64.10%,0.943641167,0.623737907,0.996231079,1715,17040.979,1.200000114,26604.902
3-Feb-20,Packing Line 01,3rd,77.20%,0.998149719,0.793130112,0.994365196,39,9636.009277,1.200000038,12483.123
4-Feb-20,Packing Line 01,3rd,31.50%,0.750680866,0.465884762,0.998322716,8056,5446.001221,1.200000153,17263.348
5-Feb-20,Packing Line 01,3rd,38.00%,0.886256638,0.482693701,0.991838074,3092,5855.998779,1.2,15429.354
6-Feb-20,Packing Line 01,3rd,24.30%,0.712014942,0.352768354,0.998855019,7842,4352.000244,1.200000076,17879.127
7-Feb-20,Packing Line 01,3rd,55.10%,0.627623367,0.534520035,0.985821762,2626,10897.99615,1.200000114,19790.615
10-Feb-20,Packing Line 01,3rd,32.10%,0.841803627,0.37858427,0.994741249,4582,6119.002319,1.200000076,19070.939
11-Feb-20,Packing Line 01,3rd,45.60%,0.781659393,0.581818562,0.985945892,6000,8414.001953,1.200000114,18460.734
12-Feb-20,Packing Line 01,3rd,63.80%,0.879932912,0.584307353,0.989953232,1501,10116.99786,1.800000153,15869.128
13-Feb-20,Packing Line 01,3rd,47.30%,0.797558422,0.619163284,0.989263191,6600,9033.997803,1.200000076,19112.145
14-Feb-20,Packing Line 01,3rd,63.30%,0.964193344,0.617158966,0.995537376,993,13074.99611,2.400000267,20642.535
16-Feb-20,Packing Line 01,3rd,59.30%,0.731296457,0.658559507,0.970456238,3704,8222.999268,1.800000114,13866.84
17-Feb-20,Packing Line 01,3rd,86.90%,0.984631704,0.837172241,0.990152334,116,12566.02625,1.800000038,14462.71
18-Feb-20,Packing Line 01,3rd,60.80%,0.707971913,0.65774943,0.99700353,2121,9538.005386,1.800000191,15675.012
19-Feb-20,Packing Line 01,3rd,47.30%,0.790660114,0.58254549,0.99944664,6482,9612.999756,1.200000153,20319.312
20-Feb-20,Packing Line 01,3rd,79.70%,0.930936737,0.864957657,0.999372368,1827,13375.00684,1.200000076,16789.811
21-Feb-20,Packing Line 01,3rd,85.30%,0.958333359,0.792569427,0.999610252,300,9257.002441,1.200000153,10851.169
23-Feb-20,Packing Line 01,3rd,56.70%,0.86020504,0.64411581,0.976609421,3000,8650.012695,1.2,15267.471
24-Feb-20,Packing Line 01,3rd,65.30%,0.889870796,0.739803619,0.989999123,2966,11613.01025,1.2,17770.793
25-Feb-20,Packing Line 01,3rd,24.80%,0.398689017,0.39943593,0.988742561,10669,3801,1.200000038,15309.505
26-Feb-20,Packing Line 01,3rd,60.40%,0.854873199,0.774360072,0.997700551,5700,10231.00439,1.800000114,16931.576
27-Feb-20,Packing Line 01,3rd,89.50%,1,0.895907974,0.998605576,0,11458.94043,0.600000038,12808.17
28-Feb-20,Packing Line 01,3rd,84.10%,0.982170944,0.888899078,0.992154922,323,13871.98956,1.800000153,16496.42
29-Feb-20,Packing Line 01,3rd,50.80%,0.777777786,0.656838913,0.994130478,5400,8638.007813,0.600000038,17008.1
2-Mar-20,Packing Line 01,3rd,53.20%,0.843225098,0.631977024,0.999760818,4200,10578.9834,1.200000076,19866.676
3-Mar-20,Packing Line 01,3rd,81.80%,0.996940104,0.807746175,0.997493795,111,15575.00964,1.800000076,19046.076
4-Mar-20,Packing Line 01,3rd,69.50%,0.820784124,0.752437846,0.988054352,2400,11039.00964,1.800000114,15874.131
5-Mar-20,Packing Line 01,3rd,41.20%,0.602091713,0.640475025,1,3464,2727.001587,1.200000076,6619.8281
6-Mar-20,Packing Line 01,3rd,125.00%,1,1.249886246,1,0,11,0.600000038,8.8008003
7-Mar-20,Packing Line 01,3rd,181.90%,1,1.818512573,1,0,12,0.600000038,6.5987997
8-Mar-20,Packing Line 01,3rd,83.10%,1,0.835298843,0.99540451,0,12563.00098,0.600000038,15109.563
9-Mar-20,Packing Line 01,3rd,73.40%,0.932579231,0.803170853,0.995690231,1800,11970.01416,1.200000114,16301.1
11-Mar-20,Packing Line 01,3rd,66.30%,0.820699387,0.852297783,0.994113922,5199,11115.00586,1.200000114,16770.34
12-Mar-20,Packing Line 01,3rd,87.20%,0.988315926,0.88607132,0.996106834,300,15447.00098,1.200000076,17721.762
13-Mar-20,Packing Line 01,3rd,66.70%,0.832244263,0.611144333,0.993867467,2267,11848.99905,1.800000076,17772.523
14-Mar-20,Packing Line 01,3rd,57.20%,0.970341721,0.633942108,0.995330772,477,8307.00415,1.200000076,14528.463
15-Mar-20,Packing Line 01,3rd,48.60%,0.7918013,0.614444122,0.999454117,5348,9153.99707,0.600000076,18825.621
16-Mar-20,Packing Line 01,3rd,77.20%,0.987165146,0.784895782,0.996279984,299,12586.91211,0.600000038,16305.57
17-Mar-20,Packing Line 01,3rd,74.10%,0.997345886,0.75288063,0.986590958,59,11993,0.600000038,16188.953
18-Mar-20,Packing Line 01,3rd,81.10%,1,0.812836533,0.997923889,0,13939.02441,0.600000038,17184.297
19-Mar-20,Packing Line 01,3rd,82.40%,0.988063049,0.835574036,0.997757111,300,14680,0.600000038,17820.982
20-Mar-20,Packing Line 01,3rd,78.10%,0.946855087,0.831796265,0.991957474,1384,14554.00195,0.600000038,18628.973
21-Mar-20,Packing Line 01,3rd,67.00%,0.919591751,0.624979038,0.996273727,1499,11108.00391,1.200000076,16569.662
22-Mar-20,Packing Line 01,3rd,87.40%,0.949651794,0.929658051,0.990249786,600,7414.013672,0.600000076,8480.4912
23-Mar-20,Packing Line 01,3rd,79.30%,0.962025375,0.825490112,0.998082199,900,13532.00488,0.600000038,17072.512
24-Mar-20,Packing Line 01,3rd,72.10%,0.918709183,0.788285141,0.995901794,3300,21385.01367,0.600000038,29650.473
25-Mar-20,Packing Line 01,3rd,82.30%,0.990365448,0.833385773,0.996842957,280,16734.99805,0.599999962,20340.301
26-Mar-20,Packing Line 01,3rd,83.20%,0.982312317,0.850885544,0.995533981,451,15381.02246,0.600000076,18484.529
27-Mar-20,Packing Line 01,3rd,83.40%,0.983739395,0.848107224,0.999538422,299,10827,0.599999962,12983.083
28-Mar-20,Packing Line 01,3rd,83.30%,1,0.839775848,0.991355515,0,10780,0.599999962,12948.693
29-Mar-20,Packing Line 01,3rd,60.50%,0.695730133,0.884878616,0.996003761,9736,13151.99805,1.200000076,21725.793
30-Mar-20,Packing Line 01,3rd,73.60%,0.970658722,0.7584935,1,600,10754.99512,0.600000038,14608.035
31-Mar-20,Packing Line 01,3rd,89.60%,0.969424133,0.924318771,1,900,18929,0.600000076,21124.773
1-Apr-20,Packing Line 01,3rd,82.50%,0.938430862,0.912958374,1,2100,12917,1.200000076,15658.498
2-Apr-20,Packing Line 01,3rd,89.60%,0.942201233,0.951375427,1,1503,16881.02539,0.600000076,18832.293
3-Apr-20,Packing Line 01,3rd,80.80%,0.956868668,0.815802498,1,1200,8861.007813,1.2,10964.533
6-Apr-20,Packing Line 01,3rd,17.30%,0.274953098,0.630667076,1,16613,2733.999512,0.599999962,15766.657
7-Apr-20,Packing Line 01,3rd,64.00%,1,0.639977531,1,0,7345.000977,0.600000038,11476.967
8-Apr-20,Packing Line 01,3rd,51.10%,0.694002457,0.73582489,1,7500,8905.016602,0.600000038,17438.104
9-Apr-20,Packing Line 01,3rd,48.40%,0.767918091,0.630106697,1,5440,7954.003906,0.600000038,16438.297
2-Jan-20,Packing Line 01,2nd,50.20%,0.835092392,0.608707657,0.987086945,4500,9708.005859,0.600000038,19347.789
3-Jan-20,Packing Line 01,2nd,45.70%,0.972038879,0.472401848,0.995291748,699,8033.001465,0.600000038,17576.492
4-Jan-20,Packing Line 01,2nd,52.90%,0.740873718,0.717394867,0.995692444,6353,9246.003906,0.599999962,17471.35
6-Jan-20,Packing Line 01,2nd,39.20%,0.805187759,0.486895599,0.999214783,5400,7635,0.599999962,19490.24
7-Jan-20,Packing Line 01,2nd,29.70%,0.879192162,0.423862648,0.983829651,4301,3909.999252,1.200000076,13148.864
8-Jan-20,Packing Line 01,2nd,50.60%,0.766855888,0.674772167,0.994908829,5836,9725.001221,1.200000076,19200.799
9-Jan-20,Packing Line 01,2nd,35.20%,0.750211563,0.475963173,0.98544632,6493,6568,0.599999924,18665.648
10-Jan-20,Packing Line 01,2nd,32.10%,0.822512436,0.394072456,0.989593887,4661,5896.007813,0.600000038,18381.566
11-Jan-20,Packing Line 01,2nd,39.00%,0.823486176,0.476778069,0.993180237,4801,7572.997559,0.599999962,19420.803
13-Jan-20,Packing Line 01,2nd,41.20%,0.388571777,0.270362911,0.494667511,5953,7514.002441,1.200000076,18248.684
14-Jan-20,Packing Line 01,2nd,62.00%,1,0.42045997,0.994854482,0,10470.93552,1.800000038,16887.992
15-Jan-20,Packing Line 01,2nd,69.20%,0.898951416,0.716416206,0.996946259,955,12902.95618,1.200000076,18656.809
16-Jan-20,Packing Line 01,2nd,30.70%,0.868342056,0.356656647,0.99028801,3463,5913.995117,0.600000038,19283.164
17-Jan-20,Packing Line 01,2nd,29.40%,0.706055298,0.417346077,0.996976013,7199,5275.005859,0.600000038,17955.736
18-Jan-20,Packing Line 01,2nd,21.90%,0.457344437,1.040323277,0.971105804,11841,3474,1.200000076,15856.97
20-Jan-20,Packing Line 01,2nd,42.30%,0.781364746,0.725077502,0.989718653,4101,7083.99707,1.800000153,16761.791
21-Jan-20,Packing Line 01,2nd,55.20%,0.951769485,0.585856972,0.990665817,1277,10401.01367,0.599999962,18828.908
22-Jan-20,Packing Line 01,2nd,48.40%,0.94075573,0.399963222,0.998849869,1568,8443.010315,1.200000076,17437.186
23-Jan-20,Packing Line 01,2nd,48.30%,0.760629196,0.641051483,0.991130371,6300,9163.000977,0.599999962,18960.119
24-Jan-20,Packing Line 01,2nd,20.00%,0.705630951,0.398479662,0.994990654,10622,3526.000854,1.200000114,17589.992
27-Jan-20,Packing Line 01,2nd,26.40%,0.94719986,0.278568535,0.999090271,1500,5491.014648,0.600000038,20829.277
28-Jan-20,Packing Line 01,2nd,59.30%,0.964808502,0.6248209,0.9829142,952,11218.01172,0.600000038,18932.309
29-Jan-20,Packing Line 01,2nd,43.10%,0.876961479,0.700270081,0.994646416,6900,8527.004875,1.200000076,19769.205
30-Jan-20,Packing Line 01,2nd,44.00%,0.897353096,0.627603874,0.988823814,4801,8229.000732,1.200000114,18686.529
31-Jan-20,Packing Line 01,2nd,46.70%,0.958949127,0.488765678,0.996871414,1200,9558.983398,0.599999962,20458.617
3-Feb-20,Packing Line 01,2nd,59.20%,0.915380383,0.603145285,0.990184479,614,7075.002075,2.400000153,11943.702
4-Feb-20,Packing Line 01,2nd,67.40%,0.959244359,0.48792366,0.658920593,1800,12777.96143,1.800000114,18949.344
5-Feb-20,Packing Line 01,2nd,51.20%,0.925736389,0.55655201,0.993864212,1800,9071.001953,0.599999962,17714.754
6-Feb-20,Packing Line 01,2nd,36.00%,0.946224823,0.381879845,0.996472626,1381,6780.003906,0.600000038,18829.703
7-Feb-20,Packing Line 01,2nd,28.10%,0.896600113,0.313920555,0.999752884,4200,8093.006348,0.599999962,28760.648
10-Feb-20,Packing Line 01,2nd,18.40%,0.96810997,0.189817505,0.99947403,900,3800.003174,0.600000076,20689.572
11-Feb-20,Packing Line 01,2nd,34.10%,0.843929977,0.405777054,0.99556015,4200,6726.999512,0.599999962,19731.494
12-Feb-20,Packing Line 01,2nd,25.70%,0.907794571,0.292192497,0.969599457,2651,5421.997559,0.600000038,21081.928
13-Feb-20,Packing Line 01,2nd,21.90%,0.804976883,0.273471775,0.994308319,5102,4018.00293,0.600000038,18356.643
14-Feb-20,Packing Line 01,2nd,52.50%,0.848689651,0.619376259,0.998874283,3851,9761.003906,0.599999962,18590.033
17-Feb-20,Packing Line 01,2nd,79.10%,1,0.802137146,0.986673508,0,5775.00293,0.600000038,7296.7607
18-Feb-20,Packing Line 01,2nd,67.60%,0.933663559,0.726079483,0.996737213,1500,10691.95508,0.600000076,15823.476
19-Feb-20,Packing Line 01,2nd,32.80%,0.941035156,0.349724121,0.998103104,1546,6314.001465,0.600000038,19221.969
20-Feb-20,Packing Line 01,2nd,76.50%,0.959614525,0.797286644,0.999607925,1506,13072.93628,1.200000076,17081.541
21-Feb-20,Packing Line 01,2nd,37.30%,0.916920547,0.40737587,0.998988953,2100,6916.000977,0.600000038,18533.924
24-Feb-20,Packing Line 01,2nd,66.50%,0.977924347,0.688306656,0.98786705,599,12782.9707,0.600000038,19224.104
25-Feb-20,Packing Line 01,2nd,46.10%,0.994059677,0.465042648,0.996857376,164,9199.007813,0.600000038,19961.938
26-Feb-20,Packing Line 01,2nd,42.50%,0.85550293,0.501930847,0.989392395,3902,8208.009766,0.600000038,19319.859
27-Feb-20,Packing Line 01,2nd,78.20%,1,0.781253662,0.99932209,0,22227.99707,1.2,28433.072
