Day of Start Time,Location Name,Shift Name,Avg. Availability
25-Feb-20,Food Safety,3rd,1
16-Mar-20,Food Safety,3rd,1
24-Jan-20,Food Safety,2nd,1
28-Jan-20,Food Safety,2nd,1
6-Feb-20,Food Safety,2nd,1
25-Mar-20,Food Safety,2nd,1
10-Apr-20,Food Safety,2nd,1
2-Jan-20,Packing Line 01,3rd,0.779220734
3-Jan-20,Packing Line 01,3rd,0.961574936
4-Jan-20,Packing Line 01,3rd,0.857289047
6-Jan-20,Packing Line 01,3rd,0.952672272
7-Jan-20,Packing Line 01,3rd,0.932411118
8-Jan-20,Packing Line 01,3rd,0.655714417
9-Jan-20,Packing Line 01,3rd,0.82264595
10-Jan-20,Packing Line 01,3rd,0.867440186
11-Jan-20,Packing Line 01,3rd,0.86059906
13-Jan-20,Packing Line 01,3rd,0.956642685
14-Jan-20,Packing Line 01,3rd,0.906578598
15-Jan-20,Packing Line 01,3rd,0.867558479
16-Jan-20,Packing Line 01,3rd,0.725247421
17-Jan-20,Packing Line 01,3rd,0.987625122
18-Jan-20,Packing Line 01,3rd,0.914008179
20-Jan-20,Packing Line 01,3rd,1
21-Jan-20,Packing Line 01,3rd,1
22-Jan-20,Packing Line 01,3rd,0.77731781
23-Jan-20,Packing Line 01,3rd,0.90221077
24-Jan-20,Packing Line 01,3rd,0.946721802
27-Jan-20,Packing Line 01,3rd,0.826875076
28-Jan-20,Packing Line 01,3rd,0.74039093
29-Jan-20,Packing Line 01,3rd,0.722572708
30-Jan-20,Packing Line 01,3rd,0.965150642
31-Jan-20,Packing Line 01,3rd,0.943641167
3-Feb-20,Packing Line 01,3rd,0.998149719
4-Feb-20,Packing Line 01,3rd,0.750680866
5-Feb-20,Packing Line 01,3rd,0.886256638
6-Feb-20,Packing Line 01,3rd,0.712014942
7-Feb-20,Packing Line 01,3rd,0.627623367
10-Feb-20,Packing Line 01,3rd,0.841803627
11-Feb-20,Packing Line 01,3rd,0.781659393
12-Feb-20,Packing Line 01,3rd,0.879932912
13-Feb-20,Packing Line 01,3rd,0.797558422
14-Feb-20,Packing Line 01,3rd,0.964193344
16-Feb-20,Packing Line 01,3rd,0.731296457
17-Feb-20,Packing Line 01,3rd,0.984631704
18-Feb-20,Packing Line 01,3rd,0.707971913
19-Feb-20,Packing Line 01,3rd,0.790660114
20-Feb-20,Packing Line 01,3rd,0.930936737
21-Feb-20,Packing Line 01,3rd,0.958333359
23-Feb-20,Packing Line 01,3rd,0.86020504
24-Feb-20,Packing Line 01,3rd,0.889870796
25-Feb-20,Packing Line 01,3rd,0.398689017
26-Feb-20,Packing Line 01,3rd,0.854873199
27-Feb-20,Packing Line 01,3rd,1
28-Feb-20,Packing Line 01,3rd,0.982170944
29-Feb-20,Packing Line 01,3rd,0.777777786
2-Mar-20,Packing Line 01,3rd,0.843225098
3-Mar-20,Packing Line 01,3rd,0.996940104
4-Mar-20,Packing Line 01,3rd,0.820784124
5-Mar-20,Packing Line 01,3rd,0.602091713
6-Mar-20,Packing Line 01,3rd,1
7-Mar-20,Packing Line 01,3rd,1
8-Mar-20,Packing Line 01,3rd,1
9-Mar-20,Packing Line 01,3rd,0.932579231
11-Mar-20,Packing Line 01,3rd,0.820699387
12-Mar-20,Packing Line 01,3rd,0.988315926
13-Mar-20,Packing Line 01,3rd,0.832244263
14-Mar-20,Packing Line 01,3rd,0.970341721
15-Mar-20,Packing Line 01,3rd,0.7918013
16-Mar-20,Packing Line 01,3rd,0.987165146
17-Mar-20,Packing Line 01,3rd,0.997345886
18-Mar-20,Packing Line 01,3rd,1
19-Mar-20,Packing Line 01,3rd,0.988063049
20-Mar-20,Packing Line 01,3rd,0.946855087
21-Mar-20,Packing Line 01,3rd,0.919591751
22-Mar-20,Packing Line 01,3rd,0.949651794
23-Mar-20,Packing Line 01,3rd,0.962025375
24-Mar-20,Packing Line 01,3rd,0.918709183
25-Mar-20,Packing Line 01,3rd,0.990365448
26-Mar-20,Packing Line 01,3rd,0.982312317
27-Mar-20,Packing Line 01,3rd,0.983739395
28-Mar-20,Packing Line 01,3rd,1
29-Mar-20,Packing Line 01,3rd,0.695730133
30-Mar-20,Packing Line 01,3rd,0.970658722
31-Mar-20,Packing Line 01,3rd,0.969424133
1-Apr-20,Packing Line 01,3rd,0.938430862
2-Apr-20,Packing Line 01,3rd,0.942201233
3-Apr-20,Packing Line 01,3rd,0.956868668
6-Apr-20,Packing Line 01,3rd,0.274953098
7-Apr-20,Packing Line 01,3rd,1
8-Apr-20,Packing Line 01,3rd,0.694002457
9-Apr-20,Packing Line 01,3rd,0.767918091
2-Jan-20,Packing Line 01,2nd,0.835092392
3-Jan-20,Packing Line 01,2nd,0.972038879
4-Jan-20,Packing Line 01,2nd,0.740873718
6-Jan-20,Packing Line 01,2nd,0.805187759
7-Jan-20,Packing Line 01,2nd,0.879192162
8-Jan-20,Packing Line 01,2nd,0.766855888
9-Jan-20,Packing Line 01,2nd,0.750211563
10-Jan-20,Packing Line 01,2nd,0.822512436
11-Jan-20,Packing Line 01,2nd,0.823486176
13-Jan-20,Packing Line 01,2nd,0.388571777
14-Jan-20,Packing Line 01,2nd,1
15-Jan-20,Packing Line 01,2nd,0.898951416
16-Jan-20,Packing Line 01,2nd,0.868342056
17-Jan-20,Packing Line 01,2nd,0.706055298
18-Jan-20,Packing Line 01,2nd,0.457344437
20-Jan-20,Packing Line 01,2nd,0.781364746
21-Jan-20,Packing Line 01,2nd,0.951769485
22-Jan-20,Packing Line 01,2nd,0.94075573
23-Jan-20,Packing Line 01,2nd,0.760629196
24-Jan-20,Packing Line 01,2nd,0.705630951
27-Jan-20,Packing Line 01,2nd,0.94719986
28-Jan-20,Packing Line 01,2nd,0.964808502
29-Jan-20,Packing Line 01,2nd,0.876961479
30-Jan-20,Packing Line 01,2nd,0.897353096
31-Jan-20,Packing Line 01,2nd,0.958949127
3-Feb-20,Packing Line 01,2nd,0.915380383
4-Feb-20,Packing Line 01,2nd,0.959244359
5-Feb-20,Packing Line 01,2nd,0.925736389
6-Feb-20,Packing Line 01,2nd,0.946224823
7-Feb-20,Packing Line 01,2nd,0.896600113
10-Feb-20,Packing Line 01,2nd,0.96810997
11-Feb-20,Packing Line 01,2nd,0.843929977
12-Feb-20,Packing Line 01,2nd,0.907794571
13-Feb-20,Packing Line 01,2nd,0.804976883
14-Feb-20,Packing Line 01,2nd,0.848689651
17-Feb-20,Packing Line 01,2nd,1
18-Feb-20,Packing Line 01,2nd,0.933663559
19-Feb-20,Packing Line 01,2nd,0.941035156
20-Feb-20,Packing Line 01,2nd,0.959614525
21-Feb-20,Packing Line 01,2nd,0.916920547
24-Feb-20,Packing Line 01,2nd,0.977924347
25-Feb-20,Packing Line 01,2nd,0.994059677
26-Feb-20,Packing Line 01,2nd,0.85550293
27-Feb-20,Packing Line 01,2nd,1
28-Feb-20,Packing Line 01,2nd,0.942492218
29-Feb-20,Packing Line 01,2nd,0.950843964
2-Mar-20,Packing Line 01,2nd,0.996958809
3-Mar-20,Packing Line 01,2nd,0.988263474
4-Mar-20,Packing Line 01,2nd,0.921808014
5-Mar-20,Packing Line 01,2nd,0.804018097
6-Mar-20,Packing Line 01,2nd,0.954029961
7-Mar-20,Packing Line 01,2nd,0.782830505
8-Mar-20,Packing Line 01,2nd,1
9-Mar-20,Packing Line 01,2nd,1
10-Mar-20,Packing Line 01,2nd,0.400588489
11-Mar-20,Packing Line 01,2nd,0.872019424
12-Mar-20,Packing Line 01,2nd,0.844274139
13-Mar-20,Packing Line 01,2nd,0.881181374
14-Mar-20,Packing Line 01,2nd,0.945224838
15-Mar-20,Packing Line 01,2nd,0.67812439
16-Mar-20,Packing Line 01,2nd,0.826341782
17-Mar-20,Packing Line 01,2nd,0.855434799
18-Mar-20,Packing Line 01,2nd,0.797495728
20-Mar-20,Packing Line 01,2nd,1
22-Mar-20,Packing Line 01,2nd,0.5
23-Mar-20,Packing Line 01,2nd,0.835421448
29-Mar-20,Packing Line 01,2nd,0.962421443
30-Mar-20,Packing Line 01,2nd,0.986555176
1-Apr-20,Packing Line 01,2nd,0.992396469
2-Apr-20,Packing Line 01,2nd,0.999321899
3-Apr-20,Packing Line 01,2nd,0.620426636
6-Apr-20,Packing Line 01,2nd,0.878145065
7-Apr-20,Packing Line 01,2nd,0.783434296
8-Apr-20,Packing Line 01,2nd,0.787229309
9-Apr-20,Packing Line 01,2nd,0.762199554
10-Apr-20,Packing Line 01,2nd,0.573648148
2-Jan-20,Packing Line 01,1st,1
3-Jan-20,Packing Line 01,1st,0.919181061
4-Jan-20,Packing Line 01,1st,0.875733032
6-Jan-20,Packing Line 01,1st,0.649189835
7-Jan-20,Packing Line 01,1st,0.755095558
8-Jan-20,Packing Line 01,1st,0.992607295
9-Jan-20,Packing Line 01,1st,1
10-Jan-20,Packing Line 01,1st,0.987617035
11-Jan-20,Packing Line 01,1st,1
13-Jan-20,Packing Line 01,1st,1
14-Jan-20,Packing Line 01,1st,0.9973946
15-Jan-20,Packing Line 01,1st,1
16-Jan-20,Packing Line 01,1st,0.998863068
17-Jan-20,Packing Line 01,1st,0.987483826
18-Jan-20,Packing Line 01,1st,0.89556694
20-Jan-20,Packing Line 01,1st,0.880150681
21-Jan-20,Packing Line 01,1st,0.994831161
22-Jan-20,Packing Line 01,1st,0.965045013
23-Jan-20,Packing Line 01,1st,1
24-Jan-20,Packing Line 01,1st,0.999945374
27-Jan-20,Packing Line 01,1st,0.947812309
28-Jan-20,Packing Line 01,1st,0.920327072
29-Jan-20,Packing Line 01,1st,0.986882935
30-Jan-20,Packing Line 01,1st,0.777658997
31-Jan-20,Packing Line 01,1st,1
2-Feb-20,Packing Line 01,1st,1
3-Feb-20,Packing Line 01,1st,1
4-Feb-20,Packing Line 01,1st,1
5-Feb-20,Packing Line 01,1st,0.943687286
6-Feb-20,Packing Line 01,1st,0.977990417
7-Feb-20,Packing Line 01,1st,0.903397217
10-Feb-20,Packing Line 01,1st,0.847386475
11-Feb-20,Packing Line 01,1st,0.987425842
12-Feb-20,Packing Line 01,1st,0.950876083
13-Feb-20,Packing Line 01,1st,0.946582947
14-Feb-20,Packing Line 01,1st,1
17-Feb-20,Packing Line 01,1st,0.984889069
18-Feb-20,Packing Line 01,1st,1
19-Feb-20,Packing Line 01,1st,1
20-Feb-20,Packing Line 01,1st,0.937583237
21-Feb-20,Packing Line 01,1st,1
24-Feb-20,Packing Line 01,1st,1
25-Feb-20,Packing Line 01,1st,0.982421188
26-Feb-20,Packing Line 01,1st,1
27-Feb-20,Packing Line 01,1st,1
28-Feb-20,Packing Line 01,1st,0.983258667
29-Feb-20,Packing Line 01,1st,0.972887344
2-Mar-20,Packing Line 01,1st,0.969956894
3-Mar-20,Packing Line 01,1st,1
4-Mar-20,Packing Line 01,1st,0.973557739
5-Mar-20,Packing Line 01,1st,0.912294947
6-Mar-20,Packing Line 01,1st,0.97595211
7-Mar-20,Packing Line 01,1st,1
9-Mar-20,Packing Line 01,1st,0.994019394
10-Mar-20,Packing Line 01,1st,0.9816008
11-Mar-20,Packing Line 01,1st,0.954151535
12-Mar-20,Packing Line 01,1st,0.960633316
13-Mar-20,Packing Line 01,1st,0.986533203
14-Mar-20,Packing Line 01,1st,0.921643753
15-Mar-20,Packing Line 01,1st,0.809760666
16-Mar-20,Packing Line 01,1st,0.59092123
17-Mar-20,Packing Line 01,1st,1
18-Mar-20,Packing Line 01,1st,0.97577713
19-Mar-20,Packing Line 01,1st,0.82331501
20-Mar-20,Packing Line 01,1st,0.965397059
21-Mar-20,Packing Line 01,1st,0.940267919
22-Mar-20,Packing Line 01,1st,0.9162898
23-Mar-20,Packing Line 01,1st,1
24-Mar-20,Packing Line 01,1st,0.944460068
25-Mar-20,Packing Line 01,1st,0.941691208
26-Mar-20,Packing Line 01,1st,0.934488869
27-Mar-20,Packing Line 01,1st,0.954568863
28-Mar-20,Packing Line 01,1st,0.899779625
29-Mar-20,Packing Line 01,1st,0.954152641
30-Mar-20,Packing Line 01,1st,1
31-Mar-20,Packing Line 01,1st,0.951160469
1-Apr-20,Packing Line 01,1st,0.971703911
2-Apr-20,Packing Line 01,1st,0.956289978
3-Apr-20,Packing Line 01,1st,0.972495575
6-Apr-20,Packing Line 01,1st,1
8-Apr-20,Packing Line 01,1st,0.902514877
9-Apr-20,Packing Line 01,1st,0.628775368
10-Apr-20,Packing Line 01,1st,0.94115387
2-Jan-20,Packing Line 02,3rd,0.962504349
3-Jan-20,Packing Line 02,3rd,0.941415939
4-Jan-20,Packing Line 02,3rd,0.835298233
6-Jan-20,Packing Line 02,3rd,1
7-Jan-20,Packing Line 02,3rd,0.999031448
8-Jan-20,Packing Line 02,3rd,1
9-Jan-20,Packing Line 02,3rd,0.997230453
10-Jan-20,Packing Line 02,3rd,0.875736389
11-Jan-20,Packing Line 02,3rd,0.981606369
13-Jan-20,Packing Line 02,3rd,1
14-Jan-20,Packing Line 02,3rd,0.876405716
15-Jan-20,Packing Line 02,3rd,0.880546875
16-Jan-20,Packing Line 02,3rd,0.89850296
17-Jan-20,Packing Line 02,3rd,0.874240494
18-Jan-20,Packing Line 02,3rd,0.665362091
20-Jan-20,Packing Line 02,3rd,0.98835495
21-Jan-20,Packing Line 02,3rd,0.99645195
22-Jan-20,Packing Line 02,3rd,0.925864944
23-Jan-20,Packing Line 02,3rd,0.967807693
24-Jan-20,Packing Line 02,3rd,0.904792175
27-Jan-20,Packing Line 02,3rd,0.901522827
28-Jan-20,Packing Line 02,3rd,0.556100426
29-Jan-20,Packing Line 02,3rd,0.944029999
