Day of Start Time,Location Name,Shift Name,Avg. Performance
25-Feb-20,Food Safety,3rd,0
16-Mar-20,Food Safety,3rd,0
24-Jan-20,Food Safety,2nd,0
28-Jan-20,Food Safety,2nd,0
6-Feb-20,Food Safety,2nd,0
25-Mar-20,Food Safety,2nd,0
10-Apr-20,Food Safety,2nd,0
2-Jan-20,Packing Line 01,3rd,0.700004425
3-Jan-20,Packing Line 01,3rd,0.518755188
4-Jan-20,Packing Line 01,3rd,0.773362503
6-Jan-20,Packing Line 01,3rd,0.633975105
7-Jan-20,Packing Line 01,3rd,0.279242516
8-Jan-20,Packing Line 01,3rd,0.653629227
9-Jan-20,Packing Line 01,3rd,0.835387115
10-Jan-20,Packing Line 01,3rd,0.5703759
11-Jan-20,Packing Line 01,3rd,0.907825623
13-Jan-20,Packing Line 01,3rd,0.640964279
14-Jan-20,Packing Line 01,3rd,0.757030258
15-Jan-20,Packing Line 01,3rd,0.605522842
16-Jan-20,Packing Line 01,3rd,0.38073082
17-Jan-20,Packing Line 01,3rd,0.65501976
18-Jan-20,Packing Line 01,3rd,0.209972496
20-Jan-20,Packing Line 01,3rd,0.638712158
21-Jan-20,Packing Line 01,3rd,0.709344711
22-Jan-20,Packing Line 01,3rd,0.28358408
23-Jan-20,Packing Line 01,3rd,0.717004986
24-Jan-20,Packing Line 01,3rd,0.664693565
27-Jan-20,Packing Line 01,3rd,0.326236649
28-Jan-20,Packing Line 01,3rd,0.48953289
29-Jan-20,Packing Line 01,3rd,0.318558865
30-Jan-20,Packing Line 01,3rd,0.745619698
31-Jan-20,Packing Line 01,3rd,0.623737907
3-Feb-20,Packing Line 01,3rd,0.793130112
4-Feb-20,Packing Line 01,3rd,0.465884762
5-Feb-20,Packing Line 01,3rd,0.482693701
6-Feb-20,Packing Line 01,3rd,0.352768354
7-Feb-20,Packing Line 01,3rd,0.534520035
10-Feb-20,Packing Line 01,3rd,0.37858427
11-Feb-20,Packing Line 01,3rd,0.581818562
12-Feb-20,Packing Line 01,3rd,0.584307353
13-Feb-20,Packing Line 01,3rd,0.619163284
14-Feb-20,Packing Line 01,3rd,0.617158966
16-Feb-20,Packing Line 01,3rd,0.658559507
17-Feb-20,Packing Line 01,3rd,0.837172241
18-Feb-20,Packing Line 01,3rd,0.65774943
19-Feb-20,Packing Line 01,3rd,0.58254549
20-Feb-20,Packing Line 01,3rd,0.864957657
21-Feb-20,Packing Line 01,3rd,0.792569427
23-Feb-20,Packing Line 01,3rd,0.64411581
24-Feb-20,Packing Line 01,3rd,0.739803619
25-Feb-20,Packing Line 01,3rd,0.39943593
26-Feb-20,Packing Line 01,3rd,0.774360072
27-Feb-20,Packing Line 01,3rd,0.895907974
28-Feb-20,Packing Line 01,3rd,0.888899078
29-Feb-20,Packing Line 01,3rd,0.656838913
2-Mar-20,Packing Line 01,3rd,0.631977024
3-Mar-20,Packing Line 01,3rd,0.807746175
4-Mar-20,Packing Line 01,3rd,0.752437846
5-Mar-20,Packing Line 01,3rd,0.640475025
6-Mar-20,Packing Line 01,3rd,1.249886246
7-Mar-20,Packing Line 01,3rd,1.818512573
8-Mar-20,Packing Line 01,3rd,0.835298843
9-Mar-20,Packing Line 01,3rd,0.803170853
11-Mar-20,Packing Line 01,3rd,0.852297783
12-Mar-20,Packing Line 01,3rd,0.88607132
13-Mar-20,Packing Line 01,3rd,0.611144333
14-Mar-20,Packing Line 01,3rd,0.633942108
15-Mar-20,Packing Line 01,3rd,0.614444122
16-Mar-20,Packing Line 01,3rd,0.784895782
17-Mar-20,Packing Line 01,3rd,0.75288063
18-Mar-20,Packing Line 01,3rd,0.812836533
19-Mar-20,Packing Line 01,3rd,0.835574036
20-Mar-20,Packing Line 01,3rd,0.831796265
21-Mar-20,Packing Line 01,3rd,0.624979038
22-Mar-20,Packing Line 01,3rd,0.929658051
23-Mar-20,Packing Line 01,3rd,0.825490112
24-Mar-20,Packing Line 01,3rd,0.788285141
25-Mar-20,Packing Line 01,3rd,0.833385773
26-Mar-20,Packing Line 01,3rd,0.850885544
27-Mar-20,Packing Line 01,3rd,0.848107224
28-Mar-20,Packing Line 01,3rd,0.839775848
29-Mar-20,Packing Line 01,3rd,0.884878616
30-Mar-20,Packing Line 01,3rd,0.7584935
31-Mar-20,Packing Line 01,3rd,0.924318771
1-Apr-20,Packing Line 01,3rd,0.912958374
2-Apr-20,Packing Line 01,3rd,0.951375427
3-Apr-20,Packing Line 01,3rd,0.815802498
6-Apr-20,Packing Line 01,3rd,0.630667076
7-Apr-20,Packing Line 01,3rd,0.639977531
8-Apr-20,Packing Line 01,3rd,0.73582489
9-Apr-20,Packing Line 01,3rd,0.630106697
2-Jan-20,Packing Line 01,2nd,0.608707657
3-Jan-20,Packing Line 01,2nd,0.472401848
4-Jan-20,Packing Line 01,2nd,0.717394867
6-Jan-20,Packing Line 01,2nd,0.486895599
7-Jan-20,Packing Line 01,2nd,0.423862648
8-Jan-20,Packing Line 01,2nd,0.674772167
9-Jan-20,Packing Line 01,2nd,0.475963173
10-Jan-20,Packing Line 01,2nd,0.394072456
11-Jan-20,Packing Line 01,2nd,0.476778069
13-Jan-20,Packing Line 01,2nd,0.270362911
14-Jan-20,Packing Line 01,2nd,0.42045997
15-Jan-20,Packing Line 01,2nd,0.716416206
16-Jan-20,Packing Line 01,2nd,0.356656647
17-Jan-20,Packing Line 01,2nd,0.417346077
