Day of Start Time,Location Name,Shift Name,Avg. Quality
25-Feb-20,Food Safety,3rd,0
16-Mar-20,Food Safety,3rd,0
24-Jan-20,Food Safety,2nd,0
28-Jan-20,Food Safety,2nd,0
6-Feb-20,Food Safety,2nd,0
25-Mar-20,Food Safety,2nd,0
10-Apr-20,Food Safety,2nd,0
2-Jan-20,Packing Line 01,3rd,0.987946396
3-Jan-20,Packing Line 01,3rd,0.993940048
4-Jan-20,Packing Line 01,3rd,0.998420486
6-Jan-20,Packing Line 01,3rd,0.997031555
7-Jan-20,Packing Line 01,3rd,0.99905571
8-Jan-20,Packing Line 01,3rd,0.999223175
9-Jan-20,Packing Line 01,3rd,0.981668396
10-Jan-20,Packing Line 01,3rd,0.995988693
11-Jan-20,Packing Line 01,3rd,0.990920563
13-Jan-20,Packing Line 01,3rd,0.980213852
14-Jan-20,Packing Line 01,3rd,0.970908051
15-Jan-20,Packing Line 01,3rd,0.995150108
16-Jan-20,Packing Line 01,3rd,0.995047379
17-Jan-20,Packing Line 01,3rd,0.983177338
18-Jan-20,Packing Line 01,3rd,0.997448959
20-Jan-20,Packing Line 01,3rd,0.978651199
21-Jan-20,Packing Line 01,3rd,0.986235352
22-Jan-20,Packing Line 01,3rd,0.999262848
23-Jan-20,Packing Line 01,3rd,0.994849415
24-Jan-20,Packing Line 01,3rd,0.994549637
27-Jan-20,Packing Line 01,3rd,0.993686676
28-Jan-20,Packing Line 01,3rd,0.99437645
29-Jan-20,Packing Line 01,3rd,0.994735718
30-Jan-20,Packing Line 01,3rd,0.985815125
31-Jan-20,Packing Line 01,3rd,0.996231079
3-Feb-20,Packing Line 01,3rd,0.994365196
4-Feb-20,Packing Line 01,3rd,0.998322716
5-Feb-20,Packing Line 01,3rd,0.991838074
6-Feb-20,Packing Line 01,3rd,0.998855019
7-Feb-20,Packing Line 01,3rd,0.985821762
10-Feb-20,Packing Line 01,3rd,0.994741249
11-Feb-20,Packing Line 01,3rd,0.985945892
12-Feb-20,Packing Line 01,3rd,0.989953232
13-Feb-20,Packing Line 01,3rd,0.989263191
14-Feb-20,Packing Line 01,3rd,0.995537376
16-Feb-20,Packing Line 01,3rd,0.970456238
17-Feb-20,Packing Line 01,3rd,0.990152334
18-Feb-20,Packing Line 01,3rd,0.99700353
19-Feb-20,Packing Line 01,3rd,0.99944664
20-Feb-20,Packing Line 01,3rd,0.999372368
21-Feb-20,Packing Line 01,3rd,0.999610252
23-Feb-20,Packing Line 01,3rd,0.976609421
24-Feb-20,Packing Line 01,3rd,0.989999123
25-Feb-20,Packing Line 01,3rd,0.988742561
26-Feb-20,Packing Line 01,3rd,0.997700551
27-Feb-20,Packing Line 01,3rd,0.998605576
28-Feb-20,Packing Line 01,3rd,0.992154922
29-Feb-20,Packing Line 01,3rd,0.994130478
2-Mar-20,Packing Line 01,3rd,0.999760818
3-Mar-20,Packing Line 01,3rd,0.997493795
4-Mar-20,Packing Line 01,3rd,0.988054352
5-Mar-20,Packing Line 01,3rd,1
6-Mar-20,Packing Line 01,3rd,1
7-Mar-20,Packing Line 01,3rd,1
8-Mar-20,Packing Line 01,3rd,0.99540451
9-Mar-20,Packing Line 01,3rd,0.995690231
11-Mar-20,Packing Line 01,3rd,0.994113922
12-Mar-20,Packing Line 01,3rd,0.996106834
13-Mar-20,Packing Line 01,3rd,0.993867467
14-Mar-20,Packing Line 01,3rd,0.995330772
15-Mar-20,Packing Line 01,3rd,0.999454117
16-Mar-20,Packing Line 01,3rd,0.996279984
17-Mar-20,Packing Line 01,3rd,0.986590958
18-Mar-20,Packing Line 01,3rd,0.997923889
19-Mar-20,Packing Line 01,3rd,0.997757111
20-Mar-20,Packing Line 01,3rd,0.991957474
21-Mar-20,Packing Line 01,3rd,0.996273727
22-Mar-20,Packing Line 01,3rd,0.990249786
23-Mar-20,Packing Line 01,3rd,0.998082199
24-Mar-20,Packing Line 01,3rd,0.995901794
25-Mar-20,Packing Line 01,3rd,0.996842957
26-Mar-20,Packing Line 01,3rd,0.995533981
27-Mar-20,Packing Line 01,3rd,0.999538422
28-Mar-20,Packing Line 01,3rd,0.991355515
29-Mar-20,Packing Line 01,3rd,0.996003761
30-Mar-20,Packing Line 01,3rd,1
31-Mar-20,Packing Line 01,3rd,1
1-Apr-20,Packing Line 01,3rd,1
2-Apr-20,Packing Line 01,3rd,1
3-Apr-20,Packing Line 01,3rd,1
6-Apr-20,Packing Line 01,3rd,1
7-Apr-20,Packing Line 01,3rd,1
8-Apr-20,Packing Line 01,3rd,1
9-Apr-20,Packing Line 01,3rd,1
2-Jan-20,Packing Line 01,2nd,0.987086945
3-Jan-20,Packing Line 01,2nd,0.995291748
4-Jan-20,Packing Line 01,2nd,0.995692444
6-Jan-20,Packing Line 01,2nd,0.999214783
7-Jan-20,Packing Line 01,2nd,0.983829651
8-Jan-20,Packing Line 01,2nd,0.994908829
9-Jan-20,Packing Line 01,2nd,0.98544632
10-Jan-20,Packing Line 01,2nd,0.989593887
11-Jan-20,Packing Line 01,2nd,0.993180237
13-Jan-20,Packing Line 01,2nd,0.494667511
14-Jan-20,Packing Line 01,2nd,0.994854482
15-Jan-20,Packing Line 01,2nd,0.996946259
16-Jan-20,Packing Line 01,2nd,0.99028801
17-Jan-20,Packing Line 01,2nd,0.996976013
18-Jan-20,Packing Line 01,2nd,0.971105804
20-Jan-20,Packing Line 01,2nd,0.989718653
